question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参与此项调查。点击<strong>下一页</strong>开始。	0	1		
instruction	人们通常在结果不确定且可能产生负面后果的情况下感知到一些风险。然而，风险性是一个非常个人化和直觉性的概念，我们对<strong>您对风险的评估</strong>很感兴趣。<br><br>对于以下每一个陈述，请指出<strong>您认为</strong>每种情况的风险程度。	0	2		
radio	承认你的品味与朋友不同。	1	3	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在荒野露营。	1	3	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在赛马上赌一天的收入。	1	3	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	将年收入的10%投资于中等增长的多元化基金。	1	3	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在社交活动中大量饮酒。	1	3	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在所得税申报中使用一些可疑的扣除项。	1	3	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在重大问题上与权威人士发生分歧。	1	4	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在高风险扑克游戏中下注一天的收入。	1	4	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	与已婚男性/女性发生婚外情。	1	4	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	将别人的作品冒充为自己的。	1	4	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	滑超出你能力范围的滑雪道。	1	4	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	将年收入的5%投资于高投机性股票。	1	4	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在春季涨水期进行激流漂流。	1	5	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在体育赛事结果上下注一天的收入。	1	5	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	发生无保护性行为。	1	5	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	向别人透露朋友的秘密。	1	5	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	开车不系安全带。	1	5	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	将年收入的10%投资于新的商业项目。	1	5	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	参加跳伞课程。	1	6	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	骑摩托车不戴头盔。	1	6	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	选择你真正喜欢的职业而不是更稳定的工作。	1	6	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在工作会议上就不受欢迎的议题表达看法。	1	6	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在没有防晒霜的情况下日光浴。	1	6	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	从高桥上蹦极。	1	6	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	驾驶小型飞机。	1	7	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	夜晚独自在城镇不安全区域步行回家。	1	7	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	搬到远离大家庭的城市居住。	1	7	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	在三十五岁左右开始新的职业生涯。	1	7	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	外出办事时把年幼的孩子独自留在家中。	1	7	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
radio	不归还你找到的装有200美元的钱包。	1	7	完全没有风险,稍有风险,有些风险,中等风险,有风险,非常有风险,极度风险	1,2,3,4,5,6,7
instruction	Congratulations for completing this survey! Press <strong>finish</strong> to continue.	0	8		
