question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此项调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	对于此页面上的每一项，从下方的选择中选择最能反映你为自己设定该目标可能性的答案。请将答案填写在答题卡上。	0	2		
radio	名人会想成为你的朋友。	1	3	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你的工作每一天都会令人满足。	1	3	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你认识的每个人都会爱你。	1	3	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	有人会为你的生活写一本书。	1	3	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	每当你遇到问题时，你的朋友都会放下手头的事情来支持你。	1	3	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会经常出现在电视上。	1	3	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会变得有名。	1	4	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你在政治圈子里会很重要。	1	4	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会被列入杂志上最性感的在世人物列表。 	1	4	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
radio	你会成为你国家的总统。	1	4	完全不可能为自己设定这个目标：1,稍有可能为自己设定这个目标：2,适度可能为自己设定这个目标：3,很有可能为自己设定这个目标：4,肯定会为自己设定这个目标：5	1,2,3,4,5
