question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加本调查。请按<strong>下一步</strong>开始。	0	1		
instruction	这个问卷的每个题目都是一个陈述，您可能同意或不同意。对于每个题目，请表明您在多大程度上同意或不同意该陈述。请回答所有题目；不要留空。每个陈述只选择一个答案。请尽可能准确和诚实地回答。把每个题目当作独立的来回答。也就是说，不要担心您的回答是否"一致"。	0	2		
radio	一个人的家庭是生命中最重要的东西。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	即使不好的事情即将发生在我身上，我也很少会感到恐惧或紧张。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	1,2,3,4
radio	为了得到我想要的东西，我会不遗余力。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	当我在某事上做得很好时，我希望能够坚持下去。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	如果我认为某些事情会很有趣，我总是愿意去尝试。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	我如何穿着对我来说很重要。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	当我得到想要的东西时，我会感到兴奋和充满活力。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	批评或责备会让我相当痛苦。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	当我想要某些东西时，我通常会全力以赴去得到它。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	我经常做一些事情，只是因为它们可能很有趣。	1	3	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1   
radio	我很难找到时间去做一些事情，比如理发。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	如果我看到了获得我想要的东西的机会，我会立即行动。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	当我想到或知道有人对我生气时，我会感到相当担心或不安。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	当我看到我喜欢的事物的机会时，我会立即感到兴奋。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	我经常凭一时冲动行事。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	如果我认为不愉快的事情即将发生，我通常会变得相当焦虑。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	我经常好奇人们为什么会那样行事。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	当好事发生在我身上时，它会强烈地影响我。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	当我认为自己在重要的事情上做得不好时，我会感到担心。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	我渴望刺激和新的感觉。	1	4	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	当我追求某些东西时，我会采用“无所不用其极”的方式。	1	5	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	与朋友相比，我的恐惧很少。	1	5	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	1,2,3,4
radio	赢得比赛会让我兴奋。	1	5	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
radio	我担心犯错误。	1	5	对我非常符合,对我比较符合,对我比较不符合,对我非常不符合	4,3,2,1
instruction	恭喜您完成了此调查！	0	6		
