question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参与本问卷调查。请按<strong>下一步</strong>开始。	0	1		
instruction	人们在不同情况下的行为和思维方式各不相同。这是一个测试，用来测量您在行为和思维方面的一些特点。请阅读每个陈述，并在问题下方点击合适的选项。	0	2		
radio	我仔细规划任务。	1	3	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我做事情不经过思考。	1	3	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我很快做决定。	1	3	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我是个乐天派。	1	3	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我不注意细节。	1	3	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我的思绪飞快。	1	3	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我提前很久规划旅行。	1	3	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我有自制力。	1	3	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我容易集中注意力。	1	3	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我经常存钱。	1	3	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我在看戏剧或听讲座时会坐立不安。	1	4	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我是个谨慎的思考者。	1	4	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我为工作保障做计划。	1	4	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我不经思考就说话。	1	4	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我喜欢思考复杂问题。	1	4	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我经常换工作。	1	4	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我冲动行事。	1	4	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	解决思维问题时我容易感到厌烦。	1	4	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我一时冲动就行动。	1	4	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我思维稳定。	1	4	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我经常搬家。	1	5	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我冲动购物。	1	5	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我一次只能想一件事。	1	5	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我经常更换爱好。	1	5	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我的花费或信贷超过收入。	1	5	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我思考时经常有无关的想法。	1	5	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	相比未来，我更关注现在。	1	5	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	在剧院或听讲座时我感到不安。	1	5	很少/从不,偶尔,经常,几乎总是/总是	1,2,3,4
radio	我喜欢谜题。	1	5	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
radio	我面向未来。	1	5	很少/从不,偶尔,经常,几乎总是/总是	4,3,2,1
instruction	恭喜您完成了这项任务！请按<strong>完成</strong>继续。	0	6		
