question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加本次量表测试。点击<strong>下一步</strong>开始。	0	1		
instruction	请仔细阅读每个陈述，并回答以下问题："这些描述符合您的情况吗？"	0	2		
radio	我认为和朋友聚会狂欢是人生重要的乐趣之一。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	熟悉的童年景象、声音、气味经常让我想起美好的回忆。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	命运在很大程度上决定了我的生活。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我经常想我的人生本来可以有不同的选择。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我的决定主要受周围人和事物的影响。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我认为每个人都应该在每天早晨提前规划一天的安排。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	回想过去让我感到愉快。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我做事很冲动。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	如果事情没有按时完成，我也不会担心。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	5,4,3,2,1
radio	当我想要达成某个目标时，我会设定具体目标并考虑实现这些目标的具体方法。	1	3	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	总的来说，我过去值得回忆的好事比坏事多得多。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	当我听我最喜欢的音乐时，我经常完全忘记了时间。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	完成明天的任务和做其他必要的工作比今晚的娱乐更重要。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	既然一切都有定数，我做什么都不重要。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我喜欢听关于"美好旧时光"的故事。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	痛苦的过去经历不断在我脑中重现。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我努力过好每一天，让生活尽可能充实。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	约会迟到会让我心烦。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	理想情况下，我会把每一天都当作生命中的最后一天来过。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	美好时光的快乐回忆容易涌上心头。	1	4	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我能按时履行对朋友和权威人士的义务。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我在过去承受了不少虐待和拒绝。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我经常在一时冲动下做决定。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我随遇而安，而不是试图规划每一天。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	5,4,3,2,1
radio	过去有太多不愉快的回忆，我不愿意去想。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	5,4,3,2,1
radio	在生活中寻找刺激是很重要的。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我在过去犯过错误，希望能够挽回。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我认为享受正在做的事情比按时完成工作更重要。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我对童年感到怀念。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	在做决定之前，我会权衡代价和益处。	1	5	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	冒险能防止我的生活变得无聊。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	对我来说，享受人生的旅程比只关注终点更重要。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	事情很少像我预期的那样发展。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我很难忘记青少年时期的不愉快的图像。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	如果我必须考虑目标、结果和产出，就会失去活动过程和流程中的乐趣。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	即使我正在享受当下，我也会想起过去的类似经历并与之比较。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	你真的无法为未来做计划，因为事情变化太快。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我的人生道路被我无法影响的力量所控制。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	担心未来没有意义，因为我对此无能为力。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我通过稳步推进来按时完成项目。	1	6	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	当家人谈论过去的事情时，我发现自己会开小差。	1	7	非常不符合, 不符合, 中性, 符合, 非常符合	5,4,3,2,1
radio	我冒险来为我的生活增加刺激。	1	7	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
radio	我会列一个任务清单。	1	7	非常不符合, 不符合, 中性, 符合, 非常符合	1,2,3,4,5
