question_type	question_text	required	page_number	option_text	option_values
instruction	欢迎参加此调查。请点击<strong>下一步</strong>开始。	0	1		
instruction	对于每个陈述，请选择最合适的选项。	0	2		
radio	如果我想要去旅行一天（例如，去乡下或山里），我很难找到人和我一起去。	1	3	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	4,3,2,1
radio	我觉得没有人可以分享我最私密的担忧和恐惧。	1	3	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	4,3,2,1
radio	如果我生病了，我可以很容易找到人帮助我做日常家务。	1	3	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	1,2,3,4
radio	有人可以给我建议，帮助我处理家庭问题。	1	3	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	1,2,3,4
radio	如果我下午决定晚上想去看电影，我可以很容易找到人和我一起去。	1	3	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	1,2,3,4
radio	当我需要建议如何处理个人问题时，我知道可以向谁寻求帮助。	1	3	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	1,2,3,4
radio	我不经常被邀请和其他人一起做事情。	1	4	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	4,3,2,1
radio	如果我必须到外地几个星期，很难找到人照料我的房子或公寓（植物、宠物、花园等）。	1	4	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	4,3,2,1
radio	如果我想和人一起吃午餐，我可以很容易找到人和我一起。	1	4	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	1,2,3,4
radio	如果我在离家十英里的地方受困，有人可以打电话来接我。	1	4	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	1,2,3,4
radio	如果出现家庭危机，很难找到能给我好建议如何处理的人。	1	4	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	4,3,2,1
radio	如果我需要帮助搬家到新房子或公寓，我很难找到人帮助我。	1	4	绝对错误：1,可能错误：2,可能正确：3,绝对正确：4	4,3,2,1
instruction	恭喜您完成了此调查！请点击<strong>完成</strong>继续。	0	5		
